"","HGNC","HGNCGeneName","GeneID","Chromosome","StartBP","EndBP","WidthBP","CanonicalTranscript","ProteinTranscript","SYMBOL","chromosome_name","LowExpressionFlag"
"GeneID:201477","DLGAP1-AS3","DLGAP1 antisense RNA 3","GeneID:201477","18",3878180,3897069,18890,"NR_038895","","DLGAP1-AS3","18",FALSE
"GeneID:64066","MMP27","matrix metallopeptidase 27","GeneID:64066","11",102691684,102705737,14054,"NM_022122","NP_071405","MMP27","11",TRUE
"GeneID:1442","CSH1","chorionic somatomammotropin hormone 1 (placental lactogen)","GeneID:1442","17",63894908,63896661,1754,"NM_001317","NP_001308","CSH1","17",FALSE
"GeneID:1991","ELANE","elastase, neutrophil expressed","GeneID:1991","19",852291,856246,3956,"NM_001972","NP_001963","ELANE","19",TRUE
"GeneID:57626","KLHL1","kelch-like family member 1","GeneID:57626","13",69700593,70108493,407901,"NM_020866","NP_065917","KLHL1","13",FALSE
"GeneID:648691","LOC648691","uncharacterized LOC648691","GeneID:648691","22",22559349,22566602,7254,"NR_027426","","LOC648691","22",FALSE
"GeneID:101927438","LOC101927438","uncharacterized LOC101927438","GeneID:101927438","2",64846130,64863631,17502,"NR_110224","","LOC101927438","2",FALSE
"GeneID:23178","PASK","PAS domain containing serine/threonine kinase","GeneID:23178","2",241106099,241149504,43406,"NM_001252119","NP_001239048","PASK","2",TRUE
"GeneID:64005","MYO1G","myosin IG","GeneID:64005","7",44962661,44979105,16445,"NM_033054","NP_149043","MYO1G","7",TRUE
"GeneID:102464831","MIR6080","microRNA 6080","GeneID:102464831","17",64780759,64780824,66,"NR_106728","","MIR6080","17",TRUE
"GeneID:677772","SCARNA6","small Cajal body-specific RNA 6","GeneID:677772","2",233288676,233288941,266,"NR_003006","","SCARNA6","2",FALSE
"GeneID:100616333","MIR3689C","microRNA 3689c","GeneID:100616333","9",134849298,134849369,72,"NR_039691","","MIR3689C","9",TRUE
"GeneID:441493","","","GeneID:441493","X",47834414,47836787,2374,"XR_246724","","",NA,FALSE
"GeneID:100616183","MIR4513","microRNA 4513","GeneID:100616183","15",74788672,74788757,86,"NR_039738","","MIR4513","15",FALSE
"GeneID:2582","GALE","UDP-galactose-4-epimerase","GeneID:2582","1",23795599,23799570,3972,"NM_001127621","NP_001121093","GALE","1",TRUE
"GeneID:167153","PAPD4","PAP associated domain containing 4","GeneID:167153","5",79612420,79686648,74229,"NM_173797","NP_776158","PAPD4","5",TRUE
"GeneID:84893","FBXO18","F-box protein, helicase, 18","GeneID:84893","10",5894386,5937595,43210,"NM_032807","NP_116196","FBXO18","10",FALSE
"GeneID:100133204","C9orf147","chromosome 9 open reading frame 147","GeneID:100133204","9",112455310,112486676,31367,"XR_250515","","C9orf147","9",TRUE
"GeneID:26165","SPATA31A7","SPATA31 subfamily A, member 7","GeneID:26165","9",61190036,61196280,6245,"NM_015667","NP_056482","SPATA31A7","9",TRUE
"GeneID:100505782","LOC100505782","uncharacterized LOC100505782","GeneID:100505782","17",41402416,41412588,10173,"NR_040111","","LOC100505782","17",TRUE
"GeneID:23431","AP4E1","adaptor-related protein complex 4, epsilon 1 subunit","GeneID:23431","15",50908672,51005900,97229,"NM_007347","NP_031373","AP4E1","15",FALSE
"GeneID:79744","ZNF419","zinc finger protein 419","GeneID:79744","19",57487711,57494680,6970,"NM_001098491","NP_001091961","ZNF419","19",TRUE
"GeneID:643905","PRR21","proline rich 21","GeneID:643905","2",240041813,240042982,1170,"NM_001080835","NP_001074304","PRR21","2",FALSE
"GeneID:157869","SBSPON","somatomedin B and thrombospondin, type 1 domain containing","GeneID:157869","8",73064543,73093272,28730,"NM_153225","NP_694957","SBSPON","8",TRUE
"GeneID:11344","TWF2","twinfilin actin-binding protein 2","GeneID:11344","3",52228610,52239167,10558,"NM_007284","NP_009215","TWF2","3",TRUE
"GeneID:677836","SNORA58","small nucleolar RNA, H/ACA box 58","GeneID:677836","3",131478998,131479233,236,"NR_002985","","SNORA58","3",TRUE
"GeneID:51294","PCDH12","protocadherin 12","GeneID:51294","5",141943585,141959062,15478,"NM_016580","NP_057664","PCDH12","5",FALSE
"GeneID:7405","UVRAG","UV radiation resistance associated","GeneID:7405","11",75815167,76144238,329072,"NM_003369","NP_003360","UVRAG","11",FALSE
"GeneID:25939","SAMHD1","SAM domain and HD domain 1","GeneID:25939","20",36891824,36951843,60020,"NM_015474","NP_056289","SAMHD1","20",FALSE
"GeneID:27128","CYTH4","cytohesin 4","GeneID:27128","22",37282454,37315348,32895,"NM_013385","NP_037517","CYTH4","22",FALSE
"GeneID:60489","APOBEC3G","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G","GeneID:60489","22",39077005,39087743,10739,"NM_021822","NP_068594","APOBEC3G","22",TRUE
"GeneID:23522","KAT6B","K(lysine) acetyltransferase 6B","GeneID:23522","10",74826413,75032622,206210,"NM_012330","NP_036462","KAT6B","10",FALSE
"GeneID:728082","CT47A3","cancer/testis antigen family 47, member A3","GeneID:728082","X",120948422,120951740,3319,"NM_001080144","NP_001073613","CT47A3","X",FALSE
"GeneID:286178","LOC286178","uncharacterized LOC286178","GeneID:286178","8",57746224,57750197,3974,"XR_108909","","LOC286178","8",FALSE
"GeneID:6355","CCL8","chemokine (C-C motif) ligand 8","GeneID:6355","17",34319047,34321402,2356,"NM_005623","NP_005614","CCL8","17",FALSE
"GeneID:5178","PEG3","paternally expressed 3","GeneID:5178","19",56810077,56840726,30650,"NM_001146184","NP_001139656","PEG3","19",FALSE
"GeneID:440354","SMG1P2","SMG1 pseudogene 2","GeneID:440354","16",29527608,29566219,38612,"NR_002473","","SMG1P2","16",FALSE
"GeneID:55293","UEVLD","UEV and lactate/malate dehyrogenase domains","GeneID:55293","11",18531403,18588746,57344,"NM_001040697","NP_001035787","UEVLD","11",TRUE
"GeneID:80233","C17orf70","chromosome 17 open reading frame 70","GeneID:80233","17",81539885,81552403,12519,"NM_025161","NP_079437","C17orf70","17",FALSE
"GeneID:100132987","LINC00856","long intergenic non-protein coding RNA 856","GeneID:100132987","10",78248625,78252645,4021,"NR_038985","","LINC00856","10",TRUE
"GeneID:100130264","LOC100130264","uncharacterized LOC100130264","GeneID:100130264","20",19242302,19284596,42295,"NR_024564","","LOC100130264","20",TRUE
"GeneID:2570","GABRR2","gamma-aminobutyric acid (GABA) A receptor, rho 2","GeneID:2570","6",89257121,89315299,58179,"NM_002043","NP_002034","GABRR2","6",TRUE
"GeneID:11054","OGFR","opioid growth factor receptor","GeneID:11054","20",62804825,62814000,9176,"NM_007346","NP_031372","OGFR","20",TRUE
"GeneID:50852","TRAT1","T cell receptor associated transmembrane adaptor 1","GeneID:50852","3",108822784,108854867,32084,"NM_016388","NP_057472","TRAT1","3",TRUE
"GeneID:55304","SPTLC3","serine palmitoyltransferase, long chain base subunit 3","GeneID:55304","20",13008979,13166764,157786,"NM_018327","NP_060797","SPTLC3","20",TRUE
"GeneID:1592","CYP26A1","cytochrome P450, family 26, subfamily A, polypeptide 1","GeneID:1592","10",93073890,93077884,3995,"NM_000783","NP_000774","CYP26A1","10",FALSE
"GeneID:102723342","LOC102723342","uncharacterized LOC102723342","GeneID:102723342","14",104767967,104769669,1703,"XR_429419","","LOC102723342","14",TRUE
"GeneID:29904","EEF2K","eukaryotic elongation factor-2 kinase","GeneID:29904","16",22206271,22288745,82475,"NM_013302","NP_037434","EEF2K","16",FALSE
"GeneID:326625","MMAB","methylmalonic aciduria (cobalamin deficiency) cblB type","GeneID:326625","12",109553715,109573553,19839,"NM_052845","NP_443077","MMAB","12",TRUE
"GeneID:84957","RELT","RELT tumor necrosis factor receptor","GeneID:84957","11",73376360,73397474,21115,"NM_152222","NP_689408","RELT","11",TRUE
"GeneID:83877","TM2D2","TM2 domain containing 2","GeneID:83877","8",38988808,38996522,7715,"NM_078473","NP_510882","TM2D2","8",TRUE
"GeneID:825","CAPN3","calpain 3, (p94)","GeneID:825","15",42359500,42412317,52818,"NM_000070","NP_000061","CAPN3","15",TRUE
"GeneID:1747","DLX3","distal-less homeobox 3","GeneID:1747","17",49990005,49995224,5220,"NM_005220","NP_005211","DLX3","17",FALSE
"GeneID:728276","CLEC19A","C-type lectin domain family 19, member A","GeneID:728276","16",19285783,19310947,25165,"NM_001256720","NP_001243649","CLEC19A","16",TRUE
"GeneID:57701","NCKAP5L","NCK-associated protein 5-like","GeneID:57701","12",49791146,49828425,37280,"NM_001037806","NP_001032895","NCKAP5L","12",TRUE
"GeneID:401563","C9orf139","chromosome 9 open reading frame 139","GeneID:401563","9",137027464,137036782,9319,"NM_207511","NP_997394","C9orf139","9",TRUE
"GeneID:102723354","LOC102723354","uncharacterized LOC102723354","GeneID:102723354","14",105094147,105099496,5350,"NR_110546","","LOC102723354","14",TRUE
"GeneID:100500884","MIR3681","microRNA 3681","GeneID:100500884","2",12199130,12199201,72,"NR_037452","","MIR3681","2",TRUE
"GeneID:266747","RGL4","ral guanine nucleotide dissociation stimulator-like 4","GeneID:266747","22",23690861,23699176,8316,"NM_153615","NP_705843","RGL4","22",FALSE
"GeneID:90523","MLIP","muscular LMNA-interacting protein","GeneID:90523","6",54111418,54266280,154863,"NM_001281747","NP_001268676","MLIP","6",TRUE
"GeneID:92312","MEX3A","mex-3 RNA binding family member A","GeneID:92312","1",156072013,156081998,9986,"NM_001093725","NP_001087194","MEX3A","1",TRUE
"GeneID:4705","NDUFA10","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa","GeneID:4705","2",239957372,240025402,68031,"NM_004544","NP_004535","NDUFA10","2",TRUE
"GeneID:200845","KCTD6","potassium channel tetramerization domain containing 6","GeneID:200845","3",58492096,58502360,10265,"NM_001128214","NP_001121686","KCTD6","3",TRUE
"GeneID:284001","CCDC57","coiled-coil domain containing 57","GeneID:284001","17",82101470,82212813,111344,"NM_198082","NP_932348","CCDC57","17",TRUE
"GeneID:103752555","SPATA17-AS1","SPATA17 antisense RNA 1","GeneID:103752555","1",217781198,217785120,3923,"NR_125784","","SPATA17-AS1","1",FALSE
"GeneID:8260","NAA10","N(alpha)-acetyltransferase 10, NatA catalytic subunit","GeneID:8260","X",153929827,153935154,5328,"NM_003491","NP_003482","NAA10","X",TRUE
"GeneID:100126306","MIR888","microRNA 888","GeneID:100126306","X",145994784,145994860,77,"NR_030592","","MIR888","X",TRUE
"GeneID:93550","ZFAND4","zinc finger, AN1-type domain 4","GeneID:93550","10",45615501,45672813,57313,"NM_001128324","NP_001121796","ZFAND4","10",FALSE
"GeneID:714","C1QC","complement component 1, q subcomponent, C chain","GeneID:714","1",22643625,22648110,4486,"NM_001114101","NP_001107573","C1QC","1",TRUE
"GeneID:220382","FAM181B","family with sequence similarity 181, member B","GeneID:220382","11",82732004,82733864,1861,"NM_175885","NP_787081","FAM181B","11",TRUE
"GeneID:102723831","LOC102723831","uncharacterized LOC102723831","GeneID:102723831","6",151196673,151228457,31785,"NR_125868","","LOC102723831","6",FALSE
"GeneID:5213","PFKM","phosphofructokinase, muscle","GeneID:5213","12",48105873,48146404,40532,"NM_001166686","NP_001160158","PFKM","12",TRUE
"GeneID:57452","GALNT16","polypeptide N-acetylgalactosaminyltransferase 16","GeneID:57452","14",69259964,69354473,94510,"NM_001168368","NP_001161840","GALNT16","14",TRUE
"GeneID:8986","RPS6KA4","ribosomal protein S6 kinase, 90kDa, polypeptide 4","GeneID:8986","11",64359153,64372215,13063,"NM_003942","NP_003933","RPS6KA4","11",TRUE
"GeneID:54908","SPDL1","spindle apparatus coiled-coil protein 1","GeneID:54908","5",169583634,169604778,21145,"NM_017785","NP_060255","SPDL1","5",TRUE
"GeneID:388015","RTL1","retrotransposon-like 1","GeneID:388015","14",100880655,100884847,4193,"NM_001134888","NP_001128360","RTL1","14",FALSE
"GeneID:100329135","TRPC5OS","TRPC5 opposite strand","GeneID:100329135","X",111881897,111903990,22094,"NM_001195577","NP_001182506","TRPC5OS","X",TRUE
"GeneID:4828","NMB","neuromedin B","GeneID:4828","15",84655129,84658571,3443,"NM_205858","NP_995580","NMB","15",FALSE
"GeneID:408187","SPINK14","serine peptidase inhibitor, Kazal type 14 (putative)","GeneID:408187","5",148169733,148175398,5666,"NM_001001325","NP_001001325","SPINK14","5",FALSE
"GeneID:57577","KIAA1407","KIAA1407","GeneID:57577","3",113964137,114056613,92477,"NM_020817","NP_065868","KIAA1407","3",TRUE
"GeneID:102465906","MIR7112","microRNA 7112","GeneID:102465906","8",144262673,144262737,65,"NR_107057","","MIR7112","8",TRUE
"GeneID:4900","NRGN","neurogranin (protein kinase C substrate, RC3)","GeneID:4900","11",124739933,124747206,7274,"NM_001126181","NP_001119653","NRGN","11",FALSE
"GeneID:8439","NSMAF","neutral sphingomyelinase (N-SMase) activation associated factor","GeneID:8439","8",58583504,58659845,76342,"NM_003580","NP_003571","NSMAF","8",TRUE
"GeneID:3087","HHEX","hematopoietically expressed homeobox","GeneID:3087","10",92689924,92695651,5728,"NM_002729","NP_002720","HHEX","10",FALSE
"GeneID:158056","MAMDC4","MAM domain containing 4","GeneID:158056","9",136852367,136860799,8433,"NM_206920","NP_996803","MAMDC4","9",TRUE
"GeneID:83547","RILP","Rab interacting lysosomal protein","GeneID:83547","17",1646150,1650098,3949,"NM_031430","NP_113618","RILP","17",TRUE
"GeneID:101929081","CTD-2194D22.4","uncharacterized LOC101929081","GeneID:101929081","5",1887331,1900493,13163,"NR_109912","","CTD-2194D22.4","5",FALSE
"GeneID:102725135","LOC102725135","testis-specific protein TEX28-like","GeneID:102725135","X",154271284,154292120,20837,"XM_006726860","XP_006726923","LOC102725135",NA,FALSE
"GeneID:126823","KLHDC9","kelch domain containing 9","GeneID:126823","1",161098391,161100348,1958,"NM_152366","NP_689579","KLHDC9","1",FALSE
"GeneID:55846","ITFG2","integrin alpha FG-GAP repeat containing 2","GeneID:55846","12",2812621,2825071,12451,"NM_018463","NP_060933","ITFG2","12",TRUE
"GeneID:727940","RHOXF2B","Rhox homeobox family, member 2B","GeneID:727940","X",120072264,120077742,5479,"NM_001099685","NP_001093155","RHOXF2B","X",TRUE
"GeneID:4014","LOR","loricrin","GeneID:4014","1",153259703,153262124,2422,"NM_000427","NP_000418","LOR","1",FALSE
"GeneID:4591","TRIM37","tripartite motif containing 37","GeneID:4591","17",58982638,59106905,124268,"NM_001005207","NP_001005207","TRIM37","17",TRUE
"GeneID:101928744","LINC01450","long intergenic non-protein coding RNA 1450","GeneID:101928744","7",40964678,40979939,15262,"XR_242167","","LINC01450","7",TRUE
"GeneID:101927756","LOC101927756","uncharacterized LOC101927756","GeneID:101927756","14",61041198,61049584,8387,"XR_245768","","LOC101927756","14",TRUE
"GeneID:348738","C2orf48","chromosome 2 open reading frame 48","GeneID:348738","2",10141854,10210816,68963,"NM_182626","NP_872432","C2orf48","2",FALSE
"GeneID:284106","CISD3","CDGSH iron sulfur domain 3","GeneID:284106","17",38730257,38735605,5349,"NM_001136498","NP_001129970","CISD3","17",TRUE
"GeneID:203074","PRSS55","protease, serine, 55","GeneID:203074","8",10525546,10538823,13278,"NM_198464","NP_940866","PRSS55","8",TRUE
"GeneID:23303","KIF13B","kinesin family member 13B","GeneID:23303","8",29067278,29263093,195816,"NM_015254","NP_056069","KIF13B","8",TRUE
"GeneID:65084","TMEM135","transmembrane protein 135","GeneID:65084","11",87037844,87328834,290991,"NM_022918","NP_075069","TMEM135","11",FALSE
"GeneID:125206","SLC5A10","solute carrier family 5 (sodium/sugar cotransporter), member 10","GeneID:125206","17",18952165,19020691,68527,"NM_001042450","NP_001035915","SLC5A10","17",TRUE
"GeneID:22995","CEP152","centrosomal protein 152kDa","GeneID:22995","15",48737938,48811146,73209,"NM_001194998","NP_001181927","CEP152","15",TRUE
"GeneID:101930134","LOC101930134","uncharacterized LOC101930134","GeneID:101930134","19",53204012,53204082,71,"XR_253904","","LOC101930134",NA,TRUE
"GeneID:11179","ZNF277","zinc finger protein 277","GeneID:11179","7",112206588,112343934,137347,"NM_021994","NP_068834","ZNF277","7",TRUE
"GeneID:6303","SAT1","spermidine/spermine N1-acetyltransferase 1","GeneID:6303","X",23783158,23786210,3053,"NM_002970","NP_002961","SAT1","X",TRUE
"GeneID:138881","OR1L8","olfactory receptor, family 1, subfamily L, member 8","GeneID:138881","9",122567548,122568477,930,"NM_001004454","NP_001004454","OR1L8","9",TRUE
"GeneID:388830","LINC00316","long intergenic non-protein coding RNA 316","GeneID:388830","21",45338590,45341990,3401,"NR_103811","","LINC00316","21",TRUE
"GeneID:101928931","SEMA3B-AS1","SEMA3B antisense RNA 1 (head to head)","GeneID:101928931","3",50266641,50267565,925,"XR_245219","","SEMA3B-AS1","3",TRUE
"GeneID:5058","PAK1","p21 protein (Cdc42/Rac)-activated kinase 1","GeneID:5058","11",77322015,77474063,152049,"NM_002576","NP_002567","PAK1","11",FALSE
"GeneID:653606","PRAMEF22","PRAME family member 22","GeneID:653606","1",13223332,13226109,2778,"NM_001100631","NP_001094101","PRAMEF22","1",FALSE
"GeneID:101928205","LOC101928205","uncharacterized LOC101928205","GeneID:101928205","17",72072333,72093481,21149,"XR_243751","","LOC101928205","17",TRUE
"GeneID:81872","KRTAP2-1","keratin associated protein 2-1","GeneID:81872","17",41046541,41047316,776,"NM_001123387","NP_001116859","KRTAP2-1","17",TRUE
"GeneID:79813","EHMT1","euchromatic histone-lysine N-methyltransferase 1","GeneID:79813","9",137618992,137836127,217136,"NM_024757","NP_079033","EHMT1","9",TRUE
"GeneID:102724117","LOC102724117","putative golgin subfamily A member 6-like protein 4-like","GeneID:102724117","15",84428357,84437835,9479,"XR_429586","","LOC102724117","15",FALSE
"GeneID:101928751","LOC101928751","uncharacterized LOC101928751","GeneID:101928751","1",175877343,175880464,3122,"XR_241152","","LOC101928751","1",FALSE
"GeneID:389633","FAM90A25P","family with sequence similarity 90, member A7 pseudogene","GeneID:389633","8",12414521,12418032,3512,"NR_073395","","FAM90A25P","8",TRUE
"GeneID:63931","MRPS14","mitochondrial ribosomal protein S14","GeneID:63931","1",175012958,175023455,10498,"NM_022100","NP_071383","MRPS14","1",TRUE
"GeneID:55824","PAG1","phosphoprotein membrane anchor with glycosphingolipid microdomains 1","GeneID:55824","8",80967810,81112068,144259,"NM_018440","NP_060910","PAG1","8",FALSE
"GeneID:57099","AVEN","apoptosis, caspase activation inhibitor","GeneID:57099","15",33866227,34039102,172876,"NM_020371","NP_065104","AVEN","15",TRUE
"GeneID:10775","POP4","processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)","GeneID:10775","19",29606263,29617255,10993,"NM_006627","NP_006618","POP4","19",TRUE
"GeneID:100302156","MIR1229","microRNA 1229","GeneID:100302156","5",179798278,179798346,69,"NR_031598","","MIR1229","5",TRUE
"GeneID:126402","CCDC105","coiled-coil domain containing 105","GeneID:126402","19",15010727,15023271,12545,"NM_173482","NP_775753","CCDC105","19",TRUE
"GeneID:3553","IL1B","interleukin 1, beta","GeneID:3553","2",112829760,112836779,7020,"NM_000576","NP_000567","IL1B","2",TRUE
"GeneID:221468","TMEM217","transmembrane protein 217","GeneID:221468","6",37212178,37257637,45460,"NM_145316","NP_660359","TMEM217","6",TRUE
"GeneID:4938","OAS1","2'-5'-oligoadenylate synthetase 1, 40/46kDa","GeneID:4938","12",112906934,112919907,12974,"NM_001032409","NP_001027581","OAS1","12",TRUE
"GeneID:100133251","PRR23D2","proline rich 23 domain containing 2","GeneID:100133251","8",7778724,7783642,4919,"XM_005272402","XP_005272459","PRR23D2","8",FALSE
"GeneID:23543","RBFOX2","RNA binding protein, fox-1 homolog (C. elegans) 2","GeneID:23543","22",35738736,36028537,289802,"NM_001082578","NP_001076047","RBFOX2","22",TRUE
"GeneID:283420","CLEC9A","C-type lectin domain family 9, member A","GeneID:283420","12",10030677,10065966,35290,"NM_207345","NP_997228","CLEC9A","12",FALSE
"GeneID:646396","REREP3","arginine-glutamic acid dipeptide (RE) repeats pseudogene 3","GeneID:646396","15",22258614,22282880,24267,"NR_033735","","REREP3","15",FALSE
"GeneID:255180","GOLGA2P11","golgin A2 pseudogene 11","GeneID:255180","15",62242751,62270589,27839,"XR_433154","","GOLGA2P11","15",TRUE
"GeneID:7556","ZNF10","zinc finger protein 10","GeneID:7556","12",133130628,133159465,28838,"NM_015394","NP_056209","ZNF10","12",FALSE
"GeneID:1381","CRABP1","cellular retinoic acid binding protein 1","GeneID:1381","15",78340324,78348230,7907,"NM_004378","NP_004369","CRABP1","15",FALSE
"GeneID:4253","CTAGE5","CTAGE family, member 5","GeneID:4253","14",39267124,39351193,84070,"NM_005930","NP_005921","CTAGE5","14",FALSE
"GeneID:84167","C19orf44","chromosome 19 open reading frame 44","GeneID:84167","19",16496311,16521369,25059,"NM_032207","NP_115583","C19orf44","19",FALSE
"GeneID:10491","CRTAP","cartilage associated protein","GeneID:10491","3",33113958,33147773,33816,"NM_006371","NP_006362","CRTAP","3",FALSE
"GeneID:608","TNFRSF17","tumor necrosis factor receptor superfamily, member 17","GeneID:608","16",11965107,11968068,2962,"NM_001192","NP_001183","TNFRSF17","16",TRUE
"GeneID:729668","GOLGA2P6","golgin A2 pseudogene 6","GeneID:729668","10",30364327,30371907,7581,"NR_120609","","GOLGA2P6","10",FALSE
"GeneID:103724388","LINC01068","long intergenic non-protein coding RNA 1068","GeneID:103724388","13",79566727,79571446,4720,"NR_125772","","LINC01068","13",FALSE
"GeneID:1965","EIF2S1","eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa","GeneID:1965","14",67360317,67386516,26200,"NM_004094","NP_004085","EIF2S1","14",TRUE
"GeneID:9883","POM121","POM121 transmembrane nucleoporin","GeneID:9883","7",72890627,72948304,57678,"NM_172020","NP_742017","POM121","7",TRUE
"GeneID:101930668","LOC101930668","uncharacterized LOC101930668","GeneID:101930668","8",34239880,34242757,2878,"XR_250341","","LOC101930668",NA,TRUE
"GeneID:79853","TM4SF20","transmembrane 4 L six family member 20","GeneID:79853","2",227362156,227379306,17151,"NM_024795","NP_079071","TM4SF20","2",FALSE
"GeneID:2165","F13B","coagulation factor XIII, B polypeptide","GeneID:2165","1",197039191,197067267,28077,"NM_001994","NP_001985","F13B","1",TRUE
"GeneID:102724219","LOC102724219","uncharacterized LOC102724219","GeneID:102724219","21",5553669,5592004,38336,"XM_006723913","XP_006723976","LOC102724219","21",TRUE
"GeneID:386593","CHKB-CPT1B","CHKB-CPT1B readthrough (NMD candidate)","GeneID:386593","22",50568861,50582999,14139,"NR_027928","","CHKB-CPT1B","22",TRUE
"GeneID:102723466","LOC102723466","uncharacterized LOC102723466","GeneID:102723466","16",56280231,56302904,22674,"XR_429753","","LOC102723466","16",TRUE
"GeneID:8000","PSCA","prostate stem cell antigen","GeneID:8000","8",142680456,142682727,2272,"NM_005672","NP_005663","PSCA","8",FALSE
"GeneID:283297","OR10A4","olfactory receptor, family 10, subfamily A, member 4","GeneID:283297","11",6876625,6877619,995,"NM_207186","NP_997069","OR10A4","11",FALSE
"GeneID:102723555","LOC102723555","putative speedy protein-like protein 2-like","GeneID:102723555","7",76532349,76540564,8216,"XM_006726449","XP_006726512","LOC102723555","7",FALSE
"GeneID:899","CCNF","cyclin F","GeneID:899","16",2429394,2458858,29465,"NM_001761","NP_001752","CCNF","16",FALSE
"GeneID:100033805","SNORD115-31","small nucleolar RNA, C/D box 115-31","GeneID:100033805","15",25227109,25227190,82,"NR_003346","","SNORD115-31","15",TRUE
"GeneID:102725291","LOC102725291","uncharacterized LOC102725291","GeneID:102725291","22",12624227,12625790,1564,"XR_426512","","LOC102725291",NA,TRUE
"GeneID:1557","CYP2C19","cytochrome P450, family 2, subfamily C, polypeptide 19","GeneID:1557","10",94762706,94852914,90209,"NM_000769","NP_000760","CYP2C19","10",TRUE
"GeneID:390201","OR10V1","olfactory receptor, family 10, subfamily V, member 1","GeneID:390201","11",59712916,59713845,930,"NM_001005324","NP_001005324","OR10V1","11",TRUE
"GeneID:100506736","SLFN12L","schlafen family member 12-like","GeneID:100506736","17",35474923,35487739,12817,"NM_001195790","NP_001182719","SLFN12L","17",FALSE
"GeneID:29843","SENP1","SUMO1/sentrin specific peptidase 1","GeneID:29843","12",48042898,48106308,63411,"NM_001267594","NP_001254523","SENP1","12",TRUE
"GeneID:54585","LZTFL1","leucine zipper transcription factor-like 1","GeneID:54585","3",45823316,45842158,18843,"NM_020347","NP_065080","LZTFL1","3",FALSE
"GeneID:101927280","LOC101927280","uncharacterized LOC101927280","GeneID:101927280","5",118350966,118562117,211152,"NR_104610","","LOC101927280","5",TRUE
"GeneID:26036","ZNF451","zinc finger protein 451","GeneID:26036","6",57090030,57170300,80271,"NM_001031623","NP_001026794","ZNF451","6",TRUE
"GeneID:100616137","MIR4501","microRNA 4501","GeneID:100616137","13",96427229,96427292,64,"NR_039723","","MIR4501","13",TRUE
"GeneID:55432","YOD1","YOD1 deubiquitinase","GeneID:55432","1",207043849,207051077,7229,"NM_018566","NP_061036","YOD1","1",FALSE
"GeneID:493901","RNASE12","ribonuclease, RNase A family, 12 (non-active)","GeneID:493901","14",20590080,20590823,744,"NM_001024822","NP_001019993","RNASE12","14",FALSE
"GeneID:101410537","MAGEA8-AS1","MAGEA8 antisense RNA 1 (head to head)","GeneID:101410537","X",149878763,149897006,18244,"NR_102703","","MAGEA8-AS1","X",FALSE
"GeneID:101929298","LOC101929298","uncharacterized LOC101929298","GeneID:101929298","3",97765024,97821702,56679,"XR_241525","","LOC101929298","3",TRUE
"GeneID:102725221","LOC102725221","uncharacterized LOC102725221","GeneID:102725221","20",25674897,25677154,2258,"XR_433608","","LOC102725221",NA,TRUE
"GeneID:8673","VAMP8","vesicle-associated membrane protein 8","GeneID:8673","2",85577491,85582033,4543,"NM_003761","NP_003752","VAMP8","2",TRUE
"GeneID:100500877","MIR3923","microRNA 3923","GeneID:100500877","3",79507887,79507969,83,"NR_037488","","MIR3923","3",TRUE
"GeneID:647121","EMBP1","embigin pseudogene 1","GeneID:647121","1",121519112,121571888,52777,"NR_003955","","EMBP1","1",TRUE
"GeneID:51441","YTHDF2","YTH domain family, member 2","GeneID:51441","1",28736621,28769775,33155,"NM_001173128","NP_001166599","YTHDF2","1",TRUE
"GeneID:25999","CLIP3","CAP-GLY domain containing linker protein 3","GeneID:25999","19",36014660,36032895,18236,"NM_015526","NP_056341","CLIP3","19",FALSE
"GeneID:121364","OR10A7","olfactory receptor, family 10, subfamily A, member 7","GeneID:121364","12",55221025,55221975,951,"NM_001005280","NP_001005280","OR10A7","12",FALSE
"GeneID:102724745","LOC102724745","uncharacterized LOC102724745","GeneID:102724745","18",58659865,58667935,8071,"XR_430106","","LOC102724745","18",TRUE
"GeneID:693159","MIR574","microRNA 574","GeneID:693159","4",38868032,38868127,96,"NR_030300","","MIR574","4",TRUE
"GeneID:54948","MRPL16","mitochondrial ribosomal protein L16","GeneID:54948","11",59806135,59810872,4738,"NM_017840","NP_060310","MRPL16","11",TRUE
"GeneID:79047","KCTD15","potassium channel tetramerization domain containing 15","GeneID:79047","19",33796846,33815761,18916,"NM_001129995","NP_001123467","KCTD15","19",TRUE
"GeneID:653598","PPIAL4C","peptidylprolyl isomerase A (cyclophilin A)-like 4C","GeneID:653598","1",149583870,149584459,590,"XM_006711714","XP_006711777","PPIAL4C","1",FALSE
"GeneID:400658","FLJ44313","chromosome 18 open reading frame 65","GeneID:400658","18",76495521,76498088,2568,"NM_001272093","NP_001259022","FLJ44313","18",TRUE
"GeneID:57568","SIPA1L2","signal-induced proliferation-associated 1 like 2","GeneID:57568","1",232397965,232515497,117533,"NM_020808","NP_065859","SIPA1L2","1",TRUE
"GeneID:8878","SQSTM1","sequestosome 1","GeneID:8878","5",179820842,179838078,17237,"NM_003900","NP_003891","SQSTM1","5",TRUE
